parameter,value,timestamp
Full_Spectrum,194,1550169097.0758777
Infrared,24,1550169097.0758777
Visible,170,1550169097.0758777
Full_Spectrum,194,1550169098.1432726
Infrared,24,1550169098.1432726
Visible,170,1550169098.1432726
Full_Spectrum,193,1550169103.0952375
Infrared,24,1550169103.0952375
Visible,169,1550169103.0952375
Full_Spectrum,195,1550169103.554859
Infrared,24,1550169103.554859
Visible,171,1550169103.554859
Full_Spectrum,193,1550169108.8444917
Infrared,24,1550169108.8444917
Visible,169,1550169108.8444917
Full_Spectrum,193,1550169113.0508435
Infrared,24,1550169113.0508435
Visible,169,1550169113.0508435
Full_Spectrum,194,1550169122.088359
Infrared,24,1550169122.088359
Visible,170,1550169122.088359
Full_Spectrum,193,1550169127.8608725
Infrared,24,1550169127.8608725
Visible,169,1550169127.8608725
Full_Spectrum,194,1550169128.9757516
Infrared,24,1550169128.9757516
Visible,170,1550169128.9757516
Full_Spectrum,193,1550169133.9171317
Infrared,24,1550169133.9171317
Visible,169,1550169133.9171317
Full_Spectrum,194,1550169134.4046278
Infrared,24,1550169134.4046278
Visible,170,1550169134.4046278
Full_Spectrum,193,1550169139.6945932
Infrared,24,1550169139.6945932
Visible,169,1550169139.6945932
Full_Spectrum,193,1550169143.9567444
Infrared,24,1550169143.9567444
Visible,169,1550169143.9567444
Full_Spectrum,192,1550169153.2621434
Infrared,24,1550169153.2621434
Visible,168,1550169153.2621434
Full_Spectrum,192,1550169158.6670983
Infrared,24,1550169158.6670983
Visible,168,1550169158.6670983
Full_Spectrum,192,1550169159.9306033
Infrared,24,1550169159.9306033
Visible,168,1550169159.9306033
Full_Spectrum,192,1550169164.8847878
Infrared,24,1550169164.8847878
Visible,168,1550169164.8847878
Full_Spectrum,193,1550169165.1907663
Infrared,24,1550169165.1907663
Visible,169,1550169165.1907663
Full_Spectrum,193,1550169170.5146568
Infrared,24,1550169170.5146568
Visible,169,1550169170.5146568
Full_Spectrum,193,1550169174.828333
Infrared,24,1550169174.828333
Visible,169,1550169174.828333
Full_Spectrum,193,1550169184.187351
Infrared,24,1550169184.187351
Visible,169,1550169184.187351
Full_Spectrum,193,1550169190.897132
Infrared,24,1550169190.897132
Visible,169,1550169190.897132
Full_Spectrum,193,1550169189.58344
Infrared,24,1550169189.58344
Visible,169,1550169189.58344
